School_Name,School_ID,Unit,Network,Grade,Year,ReadME,MathME,CompME,ReadEXC,MathEXC,CompEXC,ReadMEET,MathMEET,CompMEET,ReadBLW,MathBLW,CompBLW,ReadWRN,MathWRN,CompWRN,ReadTST,MathTST
BURKE,609819,2460,OS4,7th Grade,2010,53.8,65.4,60.3,0.0,3.8,1.3,53.8,61.5,59.0,42.3,26.9,33.3,3.8,7.7,6.4,26,26
BURKE,609819,2460,OS4,8th Grade,2010,68.4,68.4,68.4,0.0,0.0,0.0,68.4,68.4,68.4,31.6,31.6,31.6,0.0,0.0,0.0,19,19
BURKE,609819,2460,OS4,3rd Grade,2011,52.2,82.6,67.4,8.7,30.4,19.6,43.5,52.2,47.8,34.8,13.0,23.9,13.0,4.3,8.7,23,23
BURKE,609819,2460,OS4,4th Grade,2011,28.9,68.4,45.6,10.5,10.5,7.9,18.4,57.9,37.7,63.2,31.6,46.5,7.9,0.0,7.9,38,38
BURKE,609819,2460,OS4,5th Grade,2011,37.5,58.8,48.5,0.0,0.0,0.0,37.5,58.8,48.5,62.5,35.3,48.5,0.0,5.9,3.0,16,17
BURKE,609819,2460,OS4,6th Grade,2011,62.1,69.0,65.5,3.4,3.4,3.4,58.6,65.5,62.1,37.9,27.6,32.8,0.0,3.4,1.7,29,29
BURKE,609819,2460,OS4,7th Grade,2011,48.4,61.3,53.8,0.0,3.2,2.2,48.4,58.1,51.6,48.4,32.3,36.6,3.2,6.5,9.7,31,31
BURKE,609819,2460,OS4,8th Grade,2011,88.0,84.6,86.3,0.0,0.0,0.0,88.0,84.6,86.3,12.0,15.4,13.7,0.0,0.0,0.0,25,26
BURKE,609819,2460,OS4,3rd Grade,2012,44.4,55.6,50.0,11.1,11.1,11.1,33.3,44.4,38.9,25.9,14.8,20.4,29.6,29.6,29.6,27,27
BURKE,609819,2460,OS4,4th Grade,2012,55.6,77.8,66.7,3.7,11.1,4.9,51.9,66.7,61.7,44.4,7.4,24.7,0.0,14.8,8.6,27,27
BURKE,609819,2460,OS4,5th Grade,2012,41.5,61.0,51.2,7.3,0.0,3.7,34.1,61.0,47.6,58.5,34.1,46.3,0.0,4.9,2.4,41,41
BURKE,609819,2460,OS4,6th Grade,2012,46.4,53.6,50.0,0.0,0.0,0.0,46.4,53.6,50.0,53.6,39.3,46.4,0.0,7.1,3.6,28,28
BURKE,609819,2460,OS4,7th Grade,2012,55.6,61.1,55.6,0.0,0.0,0.0,55.6,61.1,55.6,38.9,27.8,29.6,5.6,11.1,14.8,18,18
BURKE,609819,2460,OS4,8th Grade,2012,71.0,80.6,75.8,0.0,3.2,1.6,71.0,77.4,74.2,29.0,12.9,21.0,0.0,6.5,3.2,31,31
BURKE,609819,2460,OS4,3rd Grade,2013,11.5,23.1,17.3,0.0,3.8,1.9,11.5,19.2,15.4,65.4,61.5,63.5,23.1,15.4,19.2,26,26
BURKE,609819,2460,OS4,4th Grade,2013,43.5,30.4,44.9,0.0,4.3,1.4,43.5,26.1,43.5,47.8,56.5,44.9,8.7,13.0,10.1,23,23
BURKE,609819,2460,OS4,5th Grade,2013,34.4,40.6,37.5,0.0,0.0,0.0,34.4,40.6,37.5,50.0,34.4,42.2,15.6,25.0,20.3,32,32
BURKE,609819,2460,OS4,6th Grade,2013,24.2,18.2,21.2,0.0,0.0,0.0,24.2,18.2,21.2,39.4,48.5,43.9,36.4,33.3,34.8,33,33
BURKE,609819,2460,OS4,7th Grade,2013,26.1,16.7,37.1,4.3,0.0,1.4,21.7,16.7,35.7,69.6,70.8,51.4,4.3,12.5,11.4,23,24
BURKE,609819,2460,OS4,8th Grade,2013,37.5,29.2,33.3,0.0,0.0,0.0,37.5,29.2,33.3,45.8,66.7,56.3,16.7,4.2,10.4,24,24
BURKE,609819,2460,OS4,3rd Grade,2014,10.0,25.0,17.5,2.5,0.0,1.3,7.5,25.0,16.3,77.5,55.0,66.3,12.5,20.0,16.3,40,40
BURKE,609819,2460,OS4,4th Grade,2014,18.5,21.4,27.7,0.0,0.0,0.0,18.5,21.4,27.7,51.9,50.0,50.6,29.6,28.6,21.7,27,28
BURKE,609819,2460,OS4,5th Grade,2014,25.0,20.8,22.9,0.0,0.0,0.0,25.0,20.8,22.9,62.5,45.8,54.2,12.5,33.3,22.9,24,24
BURKE,609819,2460,OS4,6th Grade,2014,18.2,24.2,21.2,0.0,3.0,1.5,18.2,21.2,19.7,72.7,60.6,66.7,9.1,15.2,12.1,33,33
BURKE,609819,2460,OS4,7th Grade,2014,21.9,19.4,24.7,0.0,0.0,0.0,21.9,19.4,24.7,40.6,51.6,40.9,37.5,29.0,34.4,32,31
BURKE,609819,2460,OS4,8th Grade,2014,14.8,11.1,13.0,0.0,0.0,0.0,14.8,11.1,13.0,70.4,66.7,68.5,14.8,22.2,18.5,27,27
BURLEY,609820,2470,Network 4,3rd Grade,2010,87.7,98.2,93.0,61.4,70.2,65.8,26.3,28.1,27.2,5.3,1.8,3.5,7.0,0.0,3.5,57,57
BURLEY,609820,2470,Network 4,4th Grade,2010,86.5,98.1,91.7,53.8,48.1,48.7,32.7,50.0,42.9,13.5,1.9,8.3,0.0,0.0,0.0,52,52
BURLEY,609820,2470,Network 4,5th Grade,2010,88.2,100.0,94.1,52.9,43.1,48.0,35.3,56.9,46.1,11.8,0.0,5.9,0.0,0.0,0.0,51,51
BURLEY,609820,2470,Network 4,6th Grade,2010,92.5,96.2,94.3,56.6,54.7,55.7,35.8,41.5,38.7,7.5,3.8,5.7,0.0,0.0,0.0,53,53
BURLEY,609820,2470,Network 4,7th Grade,2010,94.8,91.4,93.1,50.0,43.1,44.3,44.8,48.3,48.9,5.2,8.6,6.3,0.0,0.0,0.6,58,58
BURLEY,609820,2470,Network 4,8th Grade,2010,87.9,81.8,84.8,21.2,36.4,28.8,66.7,45.5,56.1,12.1,18.2,15.2,0.0,0.0,0.0,33,33
BURLEY,609820,2470,Network 4,3rd Grade,2011,84.7,96.6,90.7,54.2,69.5,61.9,30.5,27.1,28.8,11.9,3.4,7.6,3.4,0.0,1.7,59,59
BURLEY,609820,2470,Network 4,4th Grade,2011,86.0,96.5,91.8,61.4,50.9,54.4,24.6,45.6,37.4,14.0,3.5,8.2,0.0,0.0,0.0,57,57
BURLEY,609820,2470,Network 4,5th Grade,2011,87.0,94.4,90.7,51.9,40.7,46.3,35.2,53.7,44.4,13.0,5.6,9.3,0.0,0.0,0.0,54,54
BURLEY,609820,2470,Network 4,6th Grade,2011,96.2,100.0,98.1,59.6,59.6,59.6,36.5,40.4,38.5,3.8,0.0,1.9,0.0,0.0,0.0,52,52
BURLEY,609820,2470,Network 4,7th Grade,2011,98.1,100.0,98.7,61.5,61.5,62.2,36.5,38.5,36.5,1.9,0.0,1.3,0.0,0.0,0.0,52,52
BURLEY,609820,2470,Network 4,8th Grade,2011,98.2,98.2,98.2,32.1,42.9,37.5,66.1,55.4,60.7,1.8,1.8,1.8,0.0,0.0,0.0,56,56
BURLEY,609820,2470,Network 4,3rd Grade,2012,96.8,100.0,98.4,58.1,75.8,66.9,38.7,24.2,31.5,3.2,0.0,1.6,0.0,0.0,0.0,62,62
BURLEY,609820,2470,Network 4,4th Grade,2012,83.9,100.0,93.5,57.1,58.9,54.8,26.8,41.1,38.7,14.3,0.0,6.0,1.8,0.0,0.6,56,56
BURLEY,609820,2470,Network 4,5th Grade,2012,86.0,94.7,90.4,63.2,35.1,49.1,22.8,59.6,41.2,14.0,5.3,9.6,0.0,0.0,0.0,57,57
BURLEY,609820,2470,Network 4,6th Grade,2012,92.6,100.0,96.3,50.0,50.0,50.0,42.6,50.0,46.3,7.4,0.0,3.7,0.0,0.0,0.0,54,54
BURLEY,609820,2470,Network 4,7th Grade,2012,100.0,100.0,98.8,51.9,61.1,58.0,48.1,38.9,40.7,0.0,0.0,1.2,0.0,0.0,0.0,54,54
BURLEY,609820,2470,Network 4,8th Grade,2012,97.9,95.7,96.8,40.4,59.6,50.0,57.4,36.2,46.8,2.1,4.3,3.2,0.0,0.0,0.0,47,47
BURLEY,609820,2470,Network 4,3rd Grade,2013,79.2,81.5,80.4,26.4,24.1,25.2,52.8,57.4,55.1,17.0,18.5,17.8,3.8,0.0,1.9,53,54
BURLEY,609820,2470,Network 4,4th Grade,2013,88.7,90.3,91.9,46.8,29.0,46.2,41.9,61.3,45.7,8.1,8.1,6.5,3.2,1.6,1.6,62,62
BURLEY,609820,2470,Network 4,5th Grade,2013,81.5,81.5,81.5,42.6,40.7,41.7,38.9,40.7,39.8,11.1,14.8,13.0,7.4,3.7,5.6,54,54
BURLEY,609820,2470,Network 4,6th Grade,2013,80.0,94.5,87.3,47.3,41.8,44.5,32.7,52.7,42.7,20.0,5.5,12.7,0.0,0.0,0.0,55,55
BURLEY,609820,2470,Network 4,7th Grade,2013,84.0,84.0,89.3,38.0,38.0,44.7,46.0,46.0,44.7,16.0,16.0,10.7,0.0,0.0,0.0,50,50
BURLEY,609820,2470,Network 4,8th Grade,2013,84.6,80.8,82.7,48.1,30.8,39.4,36.5,50.0,43.3,15.4,19.2,17.3,0.0,0.0,0.0,52,52
BURLEY,609820,2470,Network 4,3rd Grade,2014,81.8,74.5,78.2,43.6,18.2,30.9,38.2,56.4,47.3,14.5,23.6,19.1,3.6,1.8,2.7,55,55
BURLEY,609820,2470,Network 4,4th Grade,2014,81.6,83.7,85.7,32.7,22.4,31.3,49.0,61.2,54.4,14.3,16.3,12.9,4.1,0.0,1.4,49,49
BURLEY,609820,2470,Network 4,5th Grade,2014,92.3,94.2,93.3,48.1,57.7,52.9,44.2,36.5,40.4,5.8,3.8,4.8,1.9,1.9,1.9,52,52
BURLEY,609820,2470,Network 4,6th Grade,2014,80.4,84.3,82.4,43.1,51.0,47.1,37.3,33.3,35.3,17.6,11.8,14.7,2.0,3.9,2.9,51,51
BURLEY,609820,2470,Network 4,7th Grade,2014,87.2,72.3,86.5,44.7,14.9,40.4,42.6,57.4,46.1,12.8,27.7,13.5,0.0,0.0,0.0,47,47
BURLEY,609820,2470,Network 4,8th Grade,2014,80.9,74.5,77.7,42.6,31.9,37.2,38.3,42.6,40.4,19.1,25.5,22.3,0.0,0.0,0.0,47,47
BURNHAM,609821,2480,Network 13,3rd Grade,2010,78.8,81.8,80.3,18.2,33.3,25.8,60.6,48.5,54.5,18.2,15.2,16.7,3.0,3.0,3.0,33,33
BURNHAM,609821,2480,Network 13,4th Grade,2010,84.6,97.4,87.2,28.2,35.9,24.8,56.4,61.5,62.4,15.4,2.6,12.8,0.0,0.0,0.0,39,39
BURNHAM,609821,2480,Network 13,5th Grade,2010,76.0,84.0,80.0,28.0,16.0,22.0,48.0,68.0,58.0,24.0,16.0,20.0,0.0,0.0,0.0,25,25
BURNHAM,609821,2480,Network 13,6th Grade,2010,81.4,88.4,84.9,16.3,30.2,23.3,65.1,58.1,61.6,18.6,9.3,14.0,0.0,2.3,1.2,43,43
BURNHAM,609821,2480,Network 13,7th Grade,2010,76.2,76.2,79.4,23.8,28.6,20.6,52.4,47.6,58.7,23.8,19.0,17.5,0.0,4.8,3.2,21,21
BURNHAM,609821,2480,Network 13,8th Grade,2010,79.2,75.0,77.1,0.0,25.0,12.5,79.2,50.0,64.6,20.8,25.0,22.9,0.0,0.0,0.0,24,24
BURNHAM,609821,2480,Network 13,3rd Grade,2011,79.4,97.1,88.2,23.5,50.0,36.8,55.9,47.1,51.5,17.6,2.9,10.3,2.9,0.0,1.5,34,34
BURNHAM,609821,2480,Network 13,4th Grade,2011,79.5,87.2,84.6,12.8,23.1,15.4,66.7,64.1,69.2,20.5,10.3,13.7,0.0,2.6,1.7,39,39
BURNHAM,609821,2480,Network 13,5th Grade,2011,86.1,97.2,91.7,27.8,25.0,26.4,58.3,72.2,65.3,13.9,2.8,8.3,0.0,0.0,0.0,36,36
BURNHAM,609821,2480,Network 13,6th Grade,2011,88.9,85.2,87.0,37.0,29.6,33.3,51.9,55.6,53.7,11.1,14.8,13.0,0.0,0.0,0.0,27,27
BURNHAM,609821,2480,Network 13,7th Grade,2011,87.5,95.0,91.7,22.5,57.5,31.7,65.0,37.5,60.0,12.5,5.0,8.3,0.0,0.0,0.0,40,40
BURNHAM,609821,2480,Network 13,8th Grade,2011,83.3,83.3,83.3,8.3,29.2,18.8,75.0,54.2,64.6,16.7,16.7,16.7,0.0,0.0,0.0,24,24
BURNHAM,609821,2480,Network 13,3rd Grade,2012,86.4,86.4,86.4,31.8,31.8,31.8,54.5,54.5,54.5,9.1,4.5,6.8,4.5,9.1,6.8,22,22
BURNHAM,609821,2480,Network 13,4th Grade,2012,78.8,97.0,81.8,21.2,18.2,18.2,57.6,78.8,63.6,18.2,3.0,17.2,3.0,0.0,1.0,33,33
BURNHAM,609821,2480,Network 13,5th Grade,2012,74.4,76.9,75.6,23.1,7.7,15.4,51.3,69.2,60.3,25.6,23.1,24.4,0.0,0.0,0.0,39,39
BURNHAM,609821,2480,Network 13,6th Grade,2012,94.6,81.1,87.8,13.5,16.2,14.9,81.1,64.9,73.0,5.4,18.9,12.2,0.0,0.0,0.0,37,37
BURNHAM,609821,2480,Network 13,7th Grade,2012,77.8,88.9,86.4,3.7,37.0,16.0,74.1,51.9,70.4,22.2,7.4,11.1,0.0,3.7,2.5,27,27
BURNHAM,609821,2480,Network 13,8th Grade,2012,84.6,89.7,87.2,2.6,35.9,19.2,82.1,53.8,67.9,15.4,10.3,12.8,0.0,0.0,0.0,39,39
BURNHAM,609821,2480,Network 13,3rd Grade,2013,62.1,48.3,55.2,24.1,0.0,12.1,37.9,48.3,43.1,31.0,44.8,37.9,6.9,6.9,6.9,29,29
BURNHAM,609821,2480,Network 13,4th Grade,2013,44.0,60.0,58.7,12.0,4.0,6.7,32.0,56.0,52.0,52.0,36.0,38.7,4.0,4.0,2.7,25,25
BURNHAM,609821,2480,Network 13,5th Grade,2013,51.7,65.5,58.6,6.9,6.9,6.9,44.8,58.6,51.7,48.3,31.0,39.7,0.0,3.4,1.7,29,29
BURNHAM,609821,2480,Network 13,6th Grade,2013,73.7,65.8,69.7,15.8,23.7,19.7,57.9,42.1,50.0,26.3,34.2,30.3,0.0,0.0,0.0,38,38
BURNHAM,609821,2480,Network 13,7th Grade,2013,72.4,72.4,73.6,17.2,10.3,12.6,55.2,62.1,60.9,27.6,27.6,25.3,0.0,0.0,1.1,29,29
BURNHAM,609821,2480,Network 13,8th Grade,2013,54.2,58.3,56.3,12.5,12.5,12.5,41.7,45.8,43.8,45.8,41.7,43.8,0.0,0.0,0.0,24,24
BURNHAM,609821,2480,Network 13,3rd Grade,2014,28.2,26.6,27.4,3.8,5.1,4.5,24.4,21.5,22.9,50.0,51.9,51.0,21.8,21.5,21.7,78,79
BURNHAM,609821,2480,Network 13,4th Grade,2014,27.4,38.7,41.4,6.5,1.6,4.3,21.0,37.1,37.1,64.5,54.8,52.7,8.1,6.5,5.9,62,62
BURNHAM,609821,2480,Network 13,5th Grade,2014,31.6,45.6,38.6,5.3,0.0,2.6,26.3,45.6,36.0,52.6,42.1,47.4,15.8,12.3,14.0,57,57
BURNHAM,609821,2480,Network 13,6th Grade,2014,42.6,34.4,38.5,1.6,1.6,1.6,41.0,32.8,36.9,49.2,39.3,44.3,8.2,26.2,17.2,61,61
BURNHAM,609821,2480,Network 13,7th Grade,2014,43.4,50.0,57.0,2.6,7.9,7.0,40.8,42.1,50.0,51.3,44.7,36.4,5.3,5.3,6.6,76,76
BURNHAM,609821,2480,Network 13,8th Grade,2014,35.8,43.4,39.6,1.9,9.4,5.7,34.0,34.0,34.0,56.6,43.4,50.0,7.5,13.2,10.4,53,53
CASTELLANOS,609826,2510,Network 7,4th Grade,2010,53.9,70.3,59.4,10.2,9.4,7.3,43.8,60.9,52.1,39.8,25.0,33.3,6.3,4.7,7.3,128,128
CASTELLANOS,609826,2510,Network 7,5th Grade,2010,44.4,64.1,54.3,8.5,6.8,7.7,35.9,57.3,46.6,54.7,35.0,44.9,0.9,0.9,0.9,117,117
CASTELLANOS,609826,2510,Network 7,6th Grade,2010,55.0,68.5,61.7,4.5,3.6,4.1,50.5,64.9,57.7,40.5,27.0,33.8,4.5,4.5,4.5,111,111
CASTELLANOS,609826,2510,Network 7,7th Grade,2010,53.5,68.3,60.1,1.0,5.9,2.6,52.5,62.4,57.4,44.6,26.7,30.4,2.0,5.0,9.6,101,101
CASTELLANOS,609826,2510,Network 7,8th Grade,2010,67.2,75.4,71.3,1.6,11.5,6.6,65.6,63.9,64.8,32.8,23.8,28.3,0.0,0.8,0.4,122,122
CASTELLANOS,609826,2510,Network 7,4th Grade,2011,52.3,63.6,55.9,13.8,4.5,8.2,38.5,59.1,47.7,45.9,31.8,38.3,1.8,4.5,5.8,109,110
CASTELLANOS,609826,2510,Network 7,5th Grade,2011,46.3,60.2,53.3,7.3,5.7,6.5,39.0,54.5,46.7,52.8,36.6,44.7,0.8,3.3,2.0,123,123
CASTELLANOS,609826,2510,Network 7,6th Grade,2011,59.1,68.5,63.8,4.5,3.6,4.1,54.5,64.9,59.7,40.9,30.6,35.7,0.0,0.9,0.5,110,111
CASTELLANOS,609826,2510,Network 7,7th Grade,2011,58.8,72.2,61.2,2.1,9.3,4.8,56.7,62.9,56.4,39.2,25.8,31.3,2.1,2.1,7.6,97,97
CASTELLANOS,609826,2510,Network 7,8th Grade,2011,67.0,69.5,68.3,2.1,18.9,10.6,64.9,50.5,57.7,33.0,29.5,31.2,0.0,1.1,0.5,94,95
CASTELLANOS,609826,2510,Network 7,4th Grade,2012,49.5,83.9,60.9,6.5,14.0,8.2,43.0,69.9,52.7,49.5,12.9,35.5,1.1,3.2,3.6,93,93
CASTELLANOS,609826,2510,Network 7,5th Grade,2012,54.8,51.0,52.9,8.7,4.8,6.7,46.2,46.2,46.2,44.2,45.2,44.7,1.0,3.8,2.4,104,104
CASTELLANOS,609826,2510,Network 7,6th Grade,2012,62.8,66.7,64.7,5.4,6.2,5.8,57.4,60.5,58.9,36.4,31.8,34.1,0.8,1.6,1.2,129,129
CASTELLANOS,609826,2510,Network 7,7th Grade,2012,58.2,79.1,64.4,3.6,10.9,6.4,54.5,68.2,58.1,40.9,19.1,27.7,0.9,1.8,7.9,110,110
CASTELLANOS,609826,2510,Network 7,8th Grade,2012,78.0,80.2,79.1,2.2,25.3,13.7,75.8,54.9,65.4,22.0,19.8,20.9,0.0,0.0,0.0,91,91
CASTELLANOS,609826,2510,Network 7,4th Grade,2013,34.1,42.7,47.2,5.7,4.0,5.4,28.5,38.7,41.8,52.8,46.8,42.9,13.0,10.5,10.0,123,124
CASTELLANOS,609826,2510,Network 7,5th Grade,2013,29.5,48.3,38.9,2.3,4.6,3.4,27.3,43.7,35.4,53.4,34.5,44.0,17.0,17.2,17.1,88,87
CASTELLANOS,609826,2510,Network 7,6th Grade,2013,31.7,32.4,32.0,5.9,2.9,4.4,25.7,29.4,27.6,53.5,47.1,50.2,14.9,20.6,17.7,101,102
CASTELLANOS,609826,2510,Network 7,7th Grade,2013,35.1,31.3,42.4,5.3,0.9,3.2,29.8,30.4,39.2,53.5,53.0,43.9,11.4,15.7,13.7,114,115
CASTELLANOS,609826,2510,Network 7,8th Grade,2013,36.6,51.9,44.4,5.0,1.9,3.4,31.7,50.0,41.0,52.5,39.4,45.9,10.9,8.7,9.8,101,104
CASTELLANOS,609826,2510,Network 7,4th Grade,2014,41.8,63.9,60.1,9.8,6.6,8.7,32.0,57.4,51.4,56.6,33.6,37.7,1.6,2.5,2.2,122,122
CASTELLANOS,609826,2510,Network 7,5th Grade,2014,30.6,47.2,39.0,4.8,6.4,5.6,25.8,40.8,33.3,48.4,40.8,44.6,21.0,12.0,16.5,124,125
CASTELLANOS,609826,2510,Network 7,6th Grade,2014,25.2,37.7,31.5,0.0,0.0,0.0,25.2,37.7,31.5,59.8,44.3,52.1,15.0,17.9,16.4,107,106
CASTELLANOS,609826,2510,Network 7,7th Grade,2014,44.4,34.9,48.4,8.3,0.9,6.2,36.1,34.0,42.2,38.9,57.5,37.6,16.7,7.5,14.0,108,106
CASTELLANOS,609826,2510,Network 7,8th Grade,2014,37.3,41.5,39.4,2.5,1.7,2.1,34.7,39.8,37.3,47.5,44.9,46.2,15.3,13.6,14.4,118,118
BURNSIDE,609827,2520,Network 12,3rd Grade,2010,75.0,81.6,78.3,13.2,26.3,19.7,61.8,55.3,58.6,22.4,10.5,16.4,2.6,7.9,5.3,76,76
BURNSIDE,609827,2520,Network 12,4th Grade,2010,70.3,82.4,71.7,19.8,7.7,9.6,50.5,74.7,62.1,29.7,14.3,26.5,0.0,3.3,1.8,91,91
BURNSIDE,609827,2520,Network 12,5th Grade,2010,58.3,59.7,59.0,12.5,2.8,7.6,45.8,56.9,51.4,41.7,38.9,40.3,0.0,1.4,0.7,72,72
BURNSIDE,609827,2520,Network 12,6th Grade,2010,63.9,62.5,63.2,8.3,9.7,9.0,55.6,52.8,54.2,36.1,33.3,34.7,0.0,4.2,2.1,72,72
BURNSIDE,609827,2520,Network 12,7th Grade,2010,82.3,74.2,76.8,9.7,19.4,11.9,72.6,54.8,64.9,14.5,21.0,15.7,3.2,4.8,7.6,62,62
BURNSIDE,609827,2520,Network 12,8th Grade,2010,87.7,87.7,87.7,5.5,16.4,11.0,82.2,71.2,76.7,12.3,9.6,11.0,0.0,2.7,1.4,73,73
BURNSIDE,609827,2520,Network 12,3rd Grade,2011,72.0,82.7,77.3,18.7,26.7,22.7,53.3,56.0,54.7,21.3,10.7,16.0,6.7,6.7,6.7,75,75
BURNSIDE,609827,2520,Network 12,4th Grade,2011,77.0,89.2,81.0,23.0,16.2,18.1,54.1,73.0,62.9,23.0,10.8,18.1,0.0,0.0,0.9,74,74
BURNSIDE,609827,2520,Network 12,5th Grade,2011,64.0,71.9,68.0,20.2,4.5,12.4,43.8,67.4,55.6,34.8,27.0,30.9,1.1,1.1,1.1,89,89
BURNSIDE,609827,2520,Network 12,6th Grade,2011,76.5,83.8,80.1,11.8,14.7,13.2,64.7,69.1,66.9,22.1,16.2,19.1,1.5,0.0,0.7,68,68
BURNSIDE,609827,2520,Network 12,7th Grade,2011,68.7,67.2,68.7,7.5,13.4,7.5,61.2,53.7,61.2,28.4,19.4,24.4,3.0,13.4,7.0,67,67
BURNSIDE,609827,2520,Network 12,8th Grade,2011,83.3,81.7,82.5,0.0,20.0,10.0,83.3,61.7,72.5,16.7,18.3,17.5,0.0,0.0,0.0,60,60
BURNSIDE,609827,2520,Network 12,3rd Grade,2012,72.5,72.5,72.5,23.8,22.5,23.1,48.8,50.0,49.4,20.0,20.0,20.0,7.5,7.5,7.5,80,80
BURNSIDE,609827,2520,Network 12,4th Grade,2012,73.6,87.5,80.1,20.8,30.6,21.3,52.8,56.9,58.8,25.0,12.5,18.1,1.4,0.0,1.9,72,72
BURNSIDE,609827,2520,Network 12,5th Grade,2012,66.7,69.2,67.9,15.4,5.1,10.3,51.3,64.1,57.7,33.3,28.2,30.8,0.0,2.6,1.3,78,78
BURNSIDE,609827,2520,Network 12,6th Grade,2012,75.3,78.5,76.9,8.6,15.1,11.8,66.7,63.4,65.1,24.7,20.4,22.6,0.0,1.1,0.5,93,93
BURNSIDE,609827,2520,Network 12,7th Grade,2012,73.8,85.2,79.2,6.6,14.8,8.7,67.2,70.5,70.5,24.6,11.5,17.5,1.6,3.3,3.3,61,61
BURNSIDE,609827,2520,Network 12,8th Grade,2012,73.8,64.6,69.2,1.5,12.3,6.9,72.3,52.3,62.3,26.2,35.4,30.8,0.0,0.0,0.0,65,65
BURNSIDE,609827,2520,Network 12,3rd Grade,2013,45.8,36.1,41.0,13.9,1.4,7.6,31.9,34.7,33.3,47.2,50.0,48.6,6.9,13.9,10.4,72,72
BURNSIDE,609827,2520,Network 12,4th Grade,2013,39.2,29.7,43.9,4.1,1.4,4.1,35.1,28.4,39.8,50.0,58.1,46.2,10.8,12.2,10.0,74,74
BURNSIDE,609827,2520,Network 12,5th Grade,2013,44.6,40.5,42.6,6.8,2.7,4.7,37.8,37.8,37.8,41.9,50.0,45.9,13.5,9.5,11.5,74,74
BURNSIDE,609827,2520,Network 12,6th Grade,2013,56.0,53.3,54.7,8.0,0.0,4.0,48.0,53.3,50.7,41.3,37.3,39.3,2.7,9.3,6.0,75,75
BURNSIDE,609827,2520,Network 12,7th Grade,2013,54.9,48.8,56.1,6.1,0.0,4.1,48.8,48.8,52.0,40.2,43.9,38.2,4.9,7.3,5.7,82,82
BURNSIDE,609827,2520,Network 12,8th Grade,2013,54.2,52.5,53.4,10.2,0.0,5.1,44.1,52.5,48.3,39.0,40.7,39.8,6.8,6.8,6.8,59,59
BURNSIDE,609827,2520,Network 12,3rd Grade,2014,61.3,48.8,55.0,11.3,3.8,7.5,50.0,45.0,47.5,30.0,50.0,40.0,8.8,1.3,5.0,80,80
BURNSIDE,609827,2520,Network 12,4th Grade,2014,54.8,60.3,64.2,9.7,6.3,8.0,45.2,54.0,56.1,35.5,34.9,28.9,9.7,4.8,7.0,62,63
BURNSIDE,609827,2520,Network 12,5th Grade,2014,38.5,61.5,50.0,3.1,4.6,3.8,35.4,56.9,46.2,52.3,35.4,43.8,9.2,3.1,6.2,65,65
BURNSIDE,609827,2520,Network 12,6th Grade,2014,59.4,58.0,58.7,11.6,8.7,10.1,47.8,49.3,48.6,31.9,30.4,31.2,8.7,11.6,10.1,69,69
BURNSIDE,609827,2520,Network 12,7th Grade,2014,56.9,48.3,60.9,8.6,1.7,6.9,48.3,46.6,54.0,34.5,50.0,33.3,8.6,1.7,5.7,58,58
BURNSIDE,609827,2520,Network 12,8th Grade,2014,48.8,63.8,56.3,3.8,5.0,4.4,45.0,58.8,51.9,47.5,33.8,40.6,3.8,2.5,3.1,80,80
BURR,609828,2530,Network 6,3rd Grade,2010,74.2,90.0,82.0,12.9,33.3,23.0,61.3,56.7,59.0,25.8,10.0,18.0,0.0,0.0,0.0,31,30
BURR,609828,2530,Network 6,4th Grade,2010,77.8,85.2,80.2,18.5,25.9,14.8,59.3,59.3,65.4,22.2,14.8,19.8,0.0,0.0,0.0,27,27
BURR,609828,2530,Network 6,5th Grade,2010,80.0,80.0,80.0,15.0,25.0,20.0,65.0,55.0,60.0,20.0,20.0,20.0,0.0,0.0,0.0,20,20
BURR,609828,2530,Network 6,6th Grade,2010,83.9,80.6,82.3,29.0,19.4,24.2,54.8,61.3,58.1,16.1,16.1,16.1,0.0,3.2,1.6,31,31
BURR,609828,2530,Network 6,7th Grade,2010,85.2,88.9,84.0,3.7,11.1,6.2,81.5,77.8,77.8,14.8,11.1,16.0,0.0,0.0,0.0,27,27
BURR,609828,2530,Network 6,8th Grade,2010,85.7,78.6,82.1,7.1,17.9,12.5,78.6,60.7,69.6,14.3,17.9,16.1,0.0,3.6,1.8,28,28
BURR,609828,2530,Network 6,3rd Grade,2011,75.0,90.0,82.5,35.0,60.0,47.5,40.0,30.0,35.0,20.0,5.0,12.5,5.0,5.0,5.0,20,20
BURR,609828,2530,Network 6,4th Grade,2011,65.6,96.9,78.1,21.9,12.5,14.6,43.8,84.4,63.5,34.4,3.1,21.9,0.0,0.0,0.0,32,32
BURR,609828,2530,Network 6,5th Grade,2011,88.9,88.9,88.9,25.9,0.0,13.0,63.0,88.9,75.9,11.1,11.1,11.1,0.0,0.0,0.0,27,27
BURR,609828,2530,Network 6,6th Grade,2011,87.0,82.6,84.8,26.1,34.8,30.4,60.9,47.8,54.3,13.0,17.4,15.2,0.0,0.0,0.0,23,23
BURR,609828,2530,Network 6,7th Grade,2011,78.6,92.9,85.7,25.0,39.3,27.4,53.6,53.6,58.3,21.4,7.1,13.1,0.0,0.0,1.2,28,28
