School_Name,School_ID,Unit,Network,Grade,Year,ReadME,MathME,CompME,ReadEXC,MathEXC,CompEXC,ReadMEET,MathMEET,CompMEET,ReadBLW,MathBLW,CompBLW,ReadWRN,MathWRN,CompWRN,ReadTST,MathTST
"LOCKE, A CHTR",400011,4730,Charter,6th Grade,2013,68.3,68.3,68.3,9.8,14.6,12.2,58.5,53.7,56.1,29.3,29.3,29.3,2.4,2.4,2.4,41,41
"LOCKE, A CHTR",400011,4730,Charter,7th Grade,2013,70.6,67.6,73.5,20.6,5.9,15.7,50.0,61.8,57.8,29.4,32.4,26.5,0.0,0.0,0.0,34,34
"LOCKE, A CHTR",400011,4730,Charter,8th Grade,2013,76.2,76.2,76.2,31.0,11.9,21.4,45.2,64.3,54.8,21.4,19.0,20.2,2.4,4.8,3.6,42,42
"LOCKE, A CHTR",400011,4730,Charter,3rd Grade,2014,60.5,75.6,68.0,26.7,22.1,24.4,33.7,53.5,43.6,36.0,24.4,30.2,3.5,0.0,1.7,86,86
"LOCKE, A CHTR",400011,4730,Charter,4th Grade,2014,50.8,69.2,63.1,12.3,9.2,11.3,38.5,60.0,51.8,43.1,29.2,34.4,6.2,1.5,2.6,65,65
"LOCKE, A CHTR",400011,4730,Charter,5th Grade,2014,66.7,87.5,77.1,10.4,20.8,15.6,56.3,66.7,61.5,29.2,12.5,20.8,4.2,0.0,2.1,48,48
"LOCKE, A CHTR",400011,4730,Charter,6th Grade,2014,65.8,92.1,78.9,10.5,18.4,14.5,55.3,73.7,64.5,34.2,7.9,21.1,0.0,0.0,0.0,38,38
"LOCKE, A CHTR",400011,4730,Charter,7th Grade,2014,76.3,84.2,84.2,13.2,13.2,12.3,63.2,71.1,71.9,23.7,15.8,15.8,0.0,0.0,0.0,38,38
"LOCKE, A CHTR",400011,4730,Charter,8th Grade,2014,61.3,74.2,67.7,12.9,9.7,11.3,48.4,64.5,56.5,35.5,25.8,30.6,3.2,0.0,1.6,31,31
AMANDLA CHTR HS,400012,2035,Charter,5th Grade,2010,67.1,73.7,70.4,19.7,6.6,13.2,47.4,67.1,57.2,32.9,26.3,29.6,0.0,0.0,0.0,76,76
AMANDLA CHTR HS,400012,2035,Charter,6th Grade,2010,73.0,71.0,72.0,13.0,10.0,11.5,60.0,61.0,60.5,27.0,26.0,26.5,0.0,3.0,1.5,100,100
AMANDLA CHTR HS,400012,2035,Charter,5th Grade,2011,55.6,58.7,57.1,12.7,0.0,6.3,42.9,58.7,50.8,44.4,36.5,40.5,0.0,4.8,2.4,63,63
AMANDLA CHTR HS,400012,2035,Charter,6th Grade,2011,76.0,80.2,78.1,14.6,15.6,15.1,61.5,64.6,63.0,24.0,18.8,21.4,0.0,1.0,0.5,96,96
AMANDLA CHTR HS,400012,2035,Charter,7th Grade,2011,72.6,77.4,73.7,6.6,23.6,11.7,66.0,53.8,62.0,25.5,17.9,21.8,1.9,4.7,4.4,106,106
AMANDLA CHTR HS,400012,2035,Charter,5th Grade,2012,44.0,52.0,48.0,8.0,2.0,5.0,36.0,50.0,43.0,56.0,40.0,48.0,0.0,8.0,4.0,50,50
AMANDLA CHTR HS,400012,2035,Charter,6th Grade,2012,65.4,76.5,71.0,8.6,8.6,8.6,56.8,67.9,62.3,34.6,22.2,28.4,0.0,1.2,0.6,81,81
AMANDLA CHTR HS,400012,2035,Charter,7th Grade,2012,66.3,74.7,67.7,3.2,17.9,10.5,63.2,56.8,57.2,33.7,23.2,24.2,0.0,2.1,8.1,95,95
AMANDLA CHTR HS,400012,2035,Charter,8th Grade,2012,88.2,87.1,87.6,0.0,20.0,10.0,88.2,67.1,77.6,11.8,12.9,12.4,0.0,0.0,0.0,85,85
AMANDLA CHTR HS,400012,2035,Charter,5th Grade,2013,25.6,23.1,24.4,2.6,0.0,1.3,23.1,23.1,23.1,59.0,48.7,53.8,15.4,28.2,21.8,39,39
AMANDLA CHTR HS,400012,2035,Charter,6th Grade,2013,22.6,17.0,19.8,1.9,1.9,1.9,20.8,15.1,17.9,66.0,56.6,61.3,11.3,26.4,18.9,53,53
AMANDLA CHTR HS,400012,2035,Charter,7th Grade,2013,37.5,43.4,45.9,2.5,2.4,4.9,35.0,41.0,41.1,48.8,47.0,40.2,13.8,9.6,13.8,80,83
AMANDLA CHTR HS,400012,2035,Charter,8th Grade,2013,36.1,42.6,39.3,0.0,6.6,3.3,36.1,36.1,36.1,50.8,44.3,47.5,13.1,13.1,13.1,61,61
AMANDLA CHTR HS,400012,2035,Charter,5th Grade,2014,22.9,11.4,17.1,0.0,0.0,0.0,22.9,11.4,17.1,42.9,62.9,52.9,34.3,25.7,30.0,35,35
AMANDLA CHTR HS,400012,2035,Charter,6th Grade,2014,13.3,17.8,15.6,0.0,0.0,0.0,13.3,17.8,15.6,73.3,57.8,65.6,13.3,24.4,18.9,45,45
AMANDLA CHTR HS,400012,2035,Charter,7th Grade,2014,30.2,24.5,37.1,3.8,1.9,3.8,26.4,22.6,33.3,54.7,52.8,42.8,15.1,22.6,20.1,53,53
AMANDLA CHTR HS,400012,2035,Charter,8th Grade,2014,32.0,30.3,31.1,0.0,2.6,1.3,32.0,27.6,29.8,48.0,57.9,53.0,20.0,11.8,15.9,75,76
ASPIRA CHTR - HAUGAN,400017,3500,Charter,6th Grade,2010,57.0,61.0,59.0,8.0,10.0,9.0,49.0,51.0,50.0,40.0,37.0,38.5,3.0,2.0,2.5,100,100
ASPIRA CHTR - HAUGAN,400017,3500,Charter,7th Grade,2010,59.1,76.7,68.8,6.2,18.7,10.7,52.8,58.0,58.1,40.4,18.7,25.6,0.5,4.7,5.5,193,193
ASPIRA CHTR - HAUGAN,400017,3500,Charter,8th Grade,2010,76.8,82.8,79.8,4.4,29.4,16.9,72.4,53.3,62.9,23.2,16.1,19.7,0.0,1.1,0.6,181,180
ASPIRA CHTR - HAUGAN,400017,3500,Charter,6th Grade,2011,71.0,72.6,71.8,9.7,5.6,7.7,61.3,66.9,64.1,29.0,27.4,28.2,0.0,0.0,0.0,124,124
ASPIRA CHTR - HAUGAN,400017,3500,Charter,7th Grade,2011,63.5,73.0,68.6,5.2,12.3,8.7,58.3,60.7,59.9,31.8,21.3,23.9,4.7,5.7,7.6,211,211
ASPIRA CHTR - HAUGAN,400017,3500,Charter,8th Grade,2011,68.9,74.0,71.5,0.5,23.1,11.8,68.4,51.0,59.7,30.1,25.0,27.6,1.0,1.0,1.0,209,208
ASPIRA CHTR - HAUGAN,400017,3500,Charter,6th Grade,2012,59.5,69.0,64.3,9.5,11.9,10.7,50.0,57.1,53.6,39.7,29.4,34.5,0.8,1.6,1.2,126,126
