school_id,School Name,Total,LEP,LEPperc,IEP,IEPperc,LowInc,LowIncperc
610229,A.N. Pritzker School,668,45,6.74,69,10.33,412,61.68
610038,Abraham Lincoln Elementary School,809,46,5.69,56,6.92,107,13.23
400009,Academy for Global Citizenship Elementary School,247,87,35.22,34,13.77,197,79.76
610281,Adam Clayton Powell Paideia Community Academy ES,520,10,1.92,53,10.19,505,97.12
610185,Adlai E Stevenson Elementary School,"1,306",416,31.85,197,15.08,"1,234",94.49
609993,Agustin Lara Elementary Academy,555,233,41.98,51,9.19,554,99.82
610513,Air Force Academy High School,302,3,0.99,22,7.28,263,87.09
610334,Al Raby High School,536,5,0.93,92,17.16,525,97.95
400011,Alain Locke Charter Elementary Academy,588,1,0.17,31,5.27,527,89.63
610212,Albany Park Multicultural Academy,266,30,11.28,32,12.03,255,95.86
609720,Albert G Lane Technical High School,"4,366",21,0.48,177,4.05,"2,776",63.58
610342,Albert R Sabin Elementary Magnet School,622,108,17.36,84,13.50,558,89.71
610524,Alcott High School for the Humanities,232,9,3.88,69,29.74,184,79.31
610209,Alessandro Volta Elementary School,"1,016",532,52.36,81,7.97,966,95.08
609808,Alex Haley Elementary Academy,524,0,0.00,45,8.59,499,95.23
609799,Alexander Graham Bell Elementary School,990,41,4.14,120,12.12,185,18.69
609947,Alexander Graham Elementary School,478,54,11.30,48,10.04,408,85.36
609963,Alexander Hamilton Elementary School,305,39,12.79,57,18.69,142,46.56
610210,Alexander von Humboldt Elementary School,392,42,10.71,43,10.97,365,93.11
610028,Alfred David Kohn Elementary School,427,0,0.00,41,9.60,384,89.93
610098,Alfred Nobel Elementary School,796,296,37.19,80,10.05,779,97.86
609788,Alice L Barnard Computer Math & Science Ctr ES,272,0,0.00,31,11.40,231,84.93
400012,Amandla Charter High School,348,0,0.00,48,13.79,335,96.26
610131,Ambrose Plamondon Elementary School,170,42,24.71,17,10.00,170,100.00
610316,Amelia Earhart Options for Knowledge ES,264,0,0.00,28,10.61,200,75.76
609780,Ames Middle School,583,95,16.30,71,12.18,571,97.94
610339,Amos Alonzo Stagg Elementary School,538,0,0.00,64,11.90,496,92.19
610320,Ana Roque de Duprey Elementary School,114,12,10.53,12,10.53,112,98.25
609837,Andrew Carnegie Elementary School,725,1,0.14,35,4.83,587,80.97
610060,Andrew Jackson Elementary Language Academy,555,41,7.39,37,6.67,192,34.59
