School_Name,School_ID,Network,Grade,Year,Reading_StudentsNumber,Reading_VAM,Reading_Confidence,Reading_Percentile,Reading_Color,Math_StudentsNumber,Math_VAM,Math_Confidence,Math_Percentile,Math_Color
HAYT,609976,Ravenswood-Ridge,All Grades,2013,433.0,0.8,0.2 to 1.4,85,Green,431.0,0.8,0.4 to 1.2,81,Green
BRIDGE,609810,O'Hare,All Grades,2013,429.0,0.6,0 to 1.2,78,Yellow,429.0,0.1,-0.3 to 0.5,56,Yellow
DEVER,609884,O'Hare,All Grades,2013,426.0,-0.2,-0.8 to 0.4,38,Yellow,426.0,1.4,1 to 1.8,93,Green
HIBBARD,609994,O'Hare,All Grades,2013,426.0,0.0,-0.5 to 0.6,51,Yellow,425.0,-0.1,-0.5 to 0.2,45,Yellow
CHAVEZ,610148,Pershing,All Grades,2013,418.0,-0.4,-1 to 0.3,31,Yellow,420.0,0.5,0.1 to 0.9,72,Green
SEWARD,610167,Pershing,All Grades,2013,417.0,-0.4,-1 to 0.1,28,Yellow,418.0,0.3,-0.1 to 0.7,66,Yellow
PULASKI,610138,Fullerton,All Grades,2013,417.0,1.1,0.5 to 1.7,91,Green,417.0,1.4,1 to 1.7,92,Green
"MARSHALL, T",610321,O'Hare,All Grades,2013,417.0,-1.6,-2.3 to -0.9,4,Red,417.0,-2.0,-2.4 to -1.5,3,Red
LORCA,610541,Fullerton,All Grades,2013,414.0,0.6,0 to 1.3,80,Green,416.0,0.6,0.2 to 1,75,Green
SUTHERLAND,610195,Rock Island,All Grades,2013,414.0,1.9,1.3 to 2.5,98,Green,414.0,0.7,0.3 to 1.1,78,Green
CAMRAS,610539,Fullerton,All Grades,2013,413.0,-0.4,-1 to 0.2,30,Yellow,413.0,-0.4,-0.8 to 0,36,Yellow
PEIRCE,610122,Ravenswood-Ridge,All Grades,2013,412.0,0.5,-0.1 to 1.1,75,Yellow,412.0,0.5,0.1 to 0.9,71,Green
PETERSON,610127,O'Hare,All Grades,2013,406.0,0.4,-0.2 to 1.1,73,Yellow,409.0,0.2,-0.2 to 0.5,59,Yellow
MARSH,610054,Lake Calumet,All Grades,2013,408.0,0.2,-0.4 to 0.8,59,Yellow,408.0,-0.5,-0.9 to -0.1,30,Red
MIRELES,610171,Skyway,All Grades,2013,408.0,0.2,-0.5 to 0.8,59,Yellow,407.0,1.6,1.2 to 2.1,95,Green
HURLEY,610006,Midway,All Grades,2013,407.0,0.1,-0.5 to 0.7,54,Yellow,407.0,-0.1,-0.5 to 0.3,45,Yellow
REINBERG,610145,O'Hare,All Grades,2013,404.0,0.7,0.1 to 1.3,80,Green,406.0,-0.4,-0.8 to 0,33,Red
MORRILL,610077,Midway,All Grades,2013,409.0,-0.6,-1.2 to 0.1,23,Yellow,405.0,-0.2,-0.6 to 0.2,43,Yellow
STOWE,610192,Garfield-Humboldt,All Grades,2013,407.0,0.3,-0.4 to 0.9,63,Yellow,404.0,1.6,1.2 to 2,95,Green
LINCOLN,610038,Fullerton,All Grades,2013,403.0,0.2,-0.5 to 0.8,59,Yellow,403.0,1.5,1.1 to 1.9,93,Green
BRADWELL,609806,AUSL,All Grades,2013,407.0,-1.0,-1.8 to -0.2,13,Red,403.0,-0.7,-1.2 to -0.3,22,Red
HAUGAN,609972,O'Hare,All Grades,2013,404.0,1.2,0.7 to 1.8,92,Green,402.0,0.8,0.4 to 1.1,80,Green
LITTLE VILLAGE,609834,Pilsen-Little Village,All Grades,2013,399.0,-0.1,-0.7 to 0.5,42,Yellow,399.0,0.2,-0.2 to 0.6,61,Yellow
CANTY,609836,O'Hare,All Grades,2013,398.0,0.7,0.1 to 1.3,83,Green,398.0,1.8,1.4 to 2.2,97,Green
CALMECA,610353,Pershing,All Grades,2013,402.0,0.3,-0.3 to 0.9,65,Yellow,397.0,0.2,-0.2 to 0.6,62,Yellow
JAMIESON,610011,Ravenswood-Ridge,All Grades,2013,397.0,-0.2,-0.9 to 0.4,36,Yellow,397.0,-1.0,-1.4 to -0.6,16,Red
GUNSAULUS,609958,Pershing,All Grades,2013,392.0,-0.3,-0.9 to 0.3,36,Yellow,390.0,0.9,0.5 to 1.3,84,Green
DIEGO,610313,Fulton,All Grades,2013,387.0,-0.3,-0.9 to 0.3,35,Yellow,388.0,0.9,0.5 to 1.3,85,Green
GARVY,609937,O'Hare,All Grades,2013,387.0,0.7,0.1 to 1.3,81,Green,387.0,0.1,-0.3 to 0.5,53,Yellow
CAMERON,609835,Garfield-Humboldt,All Grades,2013,388.0,0.4,-0.3 to 1,69,Yellow,387.0,0.3,-0.1 to 0.7,65,Yellow
SPRY,610184,Pilsen-Little Village,All Grades,2013,394.0,-0.5,-1.1 to 0.2,27,Yellow,386.0,-0.1,-0.5 to 0.3,46,Yellow
NOBEL,610098,Garfield-Humboldt,All Grades,2013,384.0,1.5,0.9 to 2.2,94,Green,385.0,1.2,0.8 to 1.6,90,Green
HEDGES,609983,Pershing,All Grades,2013,385.0,0.1,-0.5 to 0.7,56,Yellow,384.0,-0.4,-0.9 to 0,32,Red
CICS-WRIGHTWOOD,400031,Charter/Contract,All Grades,2013,384.0,-0.5,-1.2 to 0.1,24,Yellow,384.0,0.0,-0.4 to 0.4,52,Yellow
NIXON,610097,Fullerton,All Grades,2013,380.0,-0.3,-0.9 to 0.3,35,Yellow,381.0,0.1,-0.3 to 0.5,57,Yellow
GOUDY,609945,Ravenswood-Ridge,All Grades,2013,380.0,0.6,0 to 1.2,78,Yellow,380.0,0.7,0.3 to 1.1,78,Green
"WASHINGTON, G",610219,Lake Calumet,All Grades,2013,376.0,0.1,-0.5 to 0.8,58,Yellow,380.0,-0.2,-0.6 to 0.2,44,Yellow
LOGANDALE,610325,Fullerton,All Grades,2013,379.0,0.1,-0.5 to 0.7,55,Yellow,379.0,0.4,0 to 0.8,67,Yellow
UNO CHTR - SPC DANIEL ZIZUMBO,400079,Charter/Contract,All Grades,2013,377.0,0.5,-0.1 to 1.1,74,Yellow,377.0,-0.7,-1.1 to -0.3,22,Red
UNO CHTR - PFC OMAR E.TORRES,400080,Charter/Contract,All Grades,2013,375.0,0.3,-0.3 to 0.9,65,Yellow,375.0,-0.5,-1 to -0.1,30,Red
EVERGREEN,610319,Pershing,All Grades,2013,373.0,-0.4,-1.1 to 0.3,30,Yellow,373.0,-0.1,-0.5 to 0.4,49,Yellow
BURNSIDE,609827,Skyway,All Grades,2013,365.0,0.3,-0.4 to 0.9,63,Yellow,365.0,-0.8,-1.2 to -0.4,21,Red
PARKER,610112,Englewood-Gresham,All Grades,2013,357.0,-0.2,-0.9 to 0.4,37,Yellow,364.0,-2.0,-2.4 to -1.5,3,Red
BLAINE,609803,Ravenswood-Ridge,All Grades,2013,361.0,0.7,0.1 to 1.4,84,Green,362.0,-0.7,-1.1 to -0.3,24,Red
CICS-BASIL,400024,Charter/Contract,All Grades,2013,361.0,0.6,-0.1 to 1.2,77,Yellow,362.0,-0.6,-1 to -0.2,27,Red
BYRNE,609832,Midway,All Grades,2013,362.0,-1.3,-1.9 to -0.6,8,Red,362.0,0.0,-0.5 to 0.4,50,Yellow
MCKAY,610067,Midway,All Grades,2013,362.0,0.5,-0.1 to 1.2,75,Yellow,359.0,1.1,0.6 to 1.5,87,Green
DIXON,609887,Skyway,All Grades,2013,356.0,1.1,0.4 to 1.7,90,Green,354.0,1.7,1.3 to 2.2,96,Green
UNIV OF CHGO CHTR-WOODSON,400078,Charter/Contract,All Grades,2013,354.0,-0.7,-1.4 to 0,20,Yellow,354.0,-1.2,-1.6 to -0.7,10,Red
HAMPTON,609807,Midway,All Grades,2013,353.0,0.3,-0.3 to 1,67,Yellow,352.0,-1.1,-1.5 to -0.7,12,Red
KANOON,609920,Pilsen-Little Village,All Grades,2013,353.0,0.2,-0.4 to 0.9,62,Yellow,352.0,0.4,0 to 0.9,71,Green
BOONE,609804,Ravenswood-Ridge,All Grades,2013,350.0,0.1,-0.6 to 0.7,54,Yellow,349.0,-1.0,-1.5 to -0.6,14,Red
CICS-BUCKTOWN,400025,Charter/Contract,All Grades,2013,348.0,-1.7,-2.3 to -1,3,Red,348.0,-1.3,-1.8 to -0.9,8,Red
CARNEGIE,609837,Burnham Park,All Grades,2013,348.0,0.8,0.2 to 1.5,85,Green,347.0,-0.6,-1.1 to -0.2,26,Red
STONE,610191,Ravenswood-Ridge,All Grades,2013,346.0,1.3,0.7 to 1.9,93,Green,346.0,0.1,-0.4 to 0.5,53,Yellow
KILMER,610022,Ravenswood-Ridge,All Grades,2013,342.0,-0.3,-1 to 0.3,33,Yellow,343.0,-1.0,-1.4 to -0.5,16,Red
SANDOVAL,610226,Midway,All Grades,2013,341.0,0.2,-0.4 to 0.7,58,Yellow,342.0,-0.3,-0.7 to 0.1,38,Yellow
KINZIE,610026,Midway,All Grades,2013,342.0,-0.4,-1.1 to 0.2,29,Yellow,342.0,0.0,-0.4 to 0.5,52,Yellow
DALEY,610239,Pershing,All Grades,2013,341.0,-0.2,-0.9 to 0.4,38,Yellow,341.0,0.1,-0.3 to 0.5,55,Yellow
PRITZKER,610229,Fulton,All Grades,2013,341.0,0.4,-0.3 to 1,70,Yellow,339.0,0.8,0.4 to 1.2,82,Green
FIELD,609918,Ravenswood-Ridge,All Grades,2013,338.0,0.5,-0.2 to 1.2,74,Yellow,338.0,-0.2,-0.6 to 0.2,43,Yellow
SOUTH LOOP,609990,Burnham Park,All Grades,2013,336.0,0.1,-0.5 to 0.8,57,Yellow,336.0,1.1,0.6 to 1.5,88,Green
BRIGHTON PARK,610317,Pershing,All Grades,2013,333.0,0.4,-0.3 to 1,70,Yellow,331.0,0.6,0.1 to 1,74,Green
BARTON,609790,Englewood-Gresham,All Grades,2013,333.0,-0.1,-0.9 to 0.6,43,Yellow,331.0,-1.5,-2 to -1,6,Red
DIRKSEN,609874,O'Hare,All Grades,2013,330.0,0.7,0 to 1.3,82,Green,330.0,0.1,-0.4 to 0.5,53,Yellow
BOUCHET,609815,Skyway,All Grades,2013,332.0,0.5,-0.2 to 1.2,74,Yellow,330.0,0.4,-0.1 to 0.9,69,Yellow
ROGERS,610147,Ravenswood-Ridge,All Grades,2013,329.0,1.0,0.3 to 1.6,89,Green,328.0,2.2,1.8 to 2.6,98,Green
BUDLONG,609817,Ravenswood-Ridge,All Grades,2013,327.0,0.1,-0.5 to 0.8,58,Yellow,327.0,-0.7,-1.1 to -0.2,25,Red
KIPP ASCEND CHTR CAMPUS,400044,Charter/Contract,All Grades,2013,326.0,0.0,-0.7 to 0.8,52,Yellow,326.0,0.4,0 to 0.9,69,Yellow
VON LINNE,610039,Fullerton,All Grades,2013,324.0,0.2,-0.5 to 0.9,60,Yellow,323.0,-0.1,-0.5 to 0.3,48,Yellow
LLOYD,610040,Fullerton,All Grades,2013,321.0,-0.2,-0.8 to 0.4,41,Yellow,322.0,-0.3,-0.7 to 0.1,40,Yellow
SKINNER,610177,Fulton,All Grades,2013,320.0,1.0,0.4 to 1.7,90,Green,321.0,1.7,1.2 to 2.1,95,Green
SABIN,610342,Fulton,All Grades,2013,321.0,0.0,-0.7 to 0.7,50,Yellow,321.0,0.6,0.2 to 1.1,76,Green
WEST PARK,610100,Garfield-Humboldt,All Grades,2013,323.0,-0.2,-0.9 to 0.5,38,Yellow,318.0,0.4,-0.1 to 0.9,68,Yellow
UNO CHTR-51ST - HOMAN,400112,Charter/Contract,All Grades,2013,317.0,0.2,-0.5 to 0.9,60,Yellow,317.0,0.7,0.3 to 1.2,80,Green
UNO CHTR-MARQUEZ,400089,Charter/Contract,All Grades,2013,316.0,-0.4,-1.1 to 0.3,30,Yellow,316.0,-0.1,-0.5 to 0.4,49,Yellow
HAINES,609959,Pershing,All Grades,2013,316.0,-0.5,-1.2 to 0.2,26,Yellow,316.0,0.5,0 to 0.9,71,Yellow
INTER-AMERICAN,610078,Ravenswood-Ridge,All Grades,2013,315.0,0.9,0.3 to 1.6,88,Green,315.0,0.8,0.3 to 1.2,81,Green
PRUSSING,610137,O'Hare,All Grades,2013,312.0,0.7,0 to 1.4,83,Green,315.0,2.3,1.8 to 2.7,99,Green
ONAHAN,610104,O'Hare,All Grades,2013,315.0,-0.8,-1.4 to -0.1,18,Red,315.0,-0.3,-0.7 to 0.2,41,Yellow
JORDAN,609865,Ravenswood-Ridge,All Grades,2013,316.0,0.3,-0.3 to 1,67,Yellow,314.0,-0.3,-0.7 to 0.2,39,Yellow
MOZART,610088,Fullerton,All Grades,2013,314.0,-0.1,-0.8 to 0.5,41,Yellow,314.0,-0.8,-1.2 to -0.3,21,Red
HERNANDEZ,610532,Midway,6th Grade,2013,315.0,-0.3,-0.8 to 0.2,36,Yellow,314.0,-0.4,-0.7 to -0.2,31,Red
GOETHE,609942,Fullerton,All Grades,2013,315.0,0.7,0 to 1.4,83,Green,313.0,0.6,0.2 to 1.1,76,Green
"JACKSON, A",610060,Fulton,All Grades,2013,311.0,0.2,-0.4 to 0.9,62,Yellow,313.0,0.5,0 to 0.9,72,Green
HAWTHORNE,609974,Ravenswood-Ridge,All Grades,2013,313.0,0.4,-0.2 to 1.1,72,Yellow,312.0,1.3,0.8 to 1.7,91,Green
UNO CHTR-FUENTES,400082,Charter/Contract,All Grades,2013,309.0,0.2,-0.4 to 0.9,61,Yellow,312.0,0.4,-0.1 to 0.8,67,Yellow
CLEVELAND,609857,O'Hare,All Grades,2013,309.0,0.1,-0.6 to 0.8,56,Yellow,312.0,-0.6,-1 to -0.1,29,Red
HERNANDEZ,610532,Midway,7th Grade,2013,307.0,-0.1,-0.6 to 0.4,43,Yellow,308.0,-0.2,-0.5 to 0.1,40,Yellow
MADERO,610215,Pilsen-Little Village,All Grades,2013,306.0,-0.9,-1.6 to -0.1,16,Red,307.0,-0.4,-0.9 to 0,32,Yellow
UNO CHTR  - SANDRA CISNEROS,400101,Charter/Contract,All Grades,2013,306.0,-0.7,-1.3 to 0,21,Yellow,306.0,0.5,0.1 to 1,73,Green
HERNANDEZ,610532,Midway,8th Grade,2013,303.0,0.5,0 to 1,78,Yellow,304.0,1.3,0.9 to 1.6,93,Green
LASALLE,610033,Fullerton,All Grades,2013,304.0,0.2,-0.4 to 0.9,62,Yellow,304.0,0.9,0.5 to 1.4,85,Green
SWIFT,610196,Ravenswood-Ridge,All Grades,2013,301.0,1.3,0.6 to 2,93,Green,301.0,1.5,1 to 2,93,Green
CARROLL,609839,Midway,All Grades,2013,298.0,0.4,-0.3 to 1.2,72,Yellow,301.0,0.0,-0.4 to 0.5,52,Yellow
SAUGANASH,610155,O'Hare,All Grades,2013,300.0,0.6,0 to 1.3,79,Yellow,300.0,1.0,0.6 to 1.5,87,Green
MCPHERSON,610070,Ravenswood-Ridge,All Grades,2013,298.0,-0.6,-1.3 to 0.1,23,Yellow,299.0,0.1,-0.4 to 0.5,55,Yellow
DORE,609893,Midway,All Grades,2013,298.0,0.7,0 to 1.4,81,Yellow,298.0,0.8,0.3 to 1.2,81,Green
EBINGER,609899,O'Hare,All Grades,2013,298.0,0.3,-0.4 to 1,67,Yellow,298.0,-0.4,-0.9 to 0,33,Yellow
FAIRFIELD,610057,Midway,All Grades,2013,294.0,-1.0,-1.7 to -0.3,13,Red,298.0,-1.1,-1.5 to -0.6,13,Red
TONTI,610203,Midway,All Grades,2013,296.0,0.8,0.2 to 1.4,85,Green,297.0,1.4,0.9 to 1.8,92,Green
HOWE,610000,AUSL,All Grades,2013,298.0,-1.1,-1.8 to -0.4,11,Red,297.0,0.0,-0.5 to 0.5,51,Yellow
WEST RIDGE,610542,Ravenswood-Ridge,All Grades,2013,295.0,0.3,-0.5 to 1,63,Yellow,294.0,1.9,1.5 to 2.4,98,Green
CICS-IRVING PARK,400027,Charter/Contract,All Grades,2013,294.0,-1.5,-2.2 to -0.8,5,Red,294.0,0.2,-0.2 to 0.7,63,Yellow
ORIOLE PARK,610105,O'Hare,All Grades,2013,292.0,0.5,-0.2 to 1.2,73,Yellow,292.0,0.5,0 to 1,72,Green
GALILEO,610009,Fulton,All Grades,2013,291.0,0.2,-0.5 to 0.8,58,Yellow,291.0,1.6,1.1 to 2,94,Green
HAY,609975,Austin-North Lawndale,All Grades,2013,290.0,-1.2,-1.9 to -0.4,10,Red,291.0,-1.0,-1.5 to -0.6,13,Red
SHERIDAN,610081,Pershing,All Grades,2013,290.0,0.8,0.1 to 1.5,85,Green,290.0,1.3,0.8 to 1.7,91,Green
LASALLE II,610520,Fulton,All Grades,2013,290.0,0.3,-0.4 to 1.1,67,Yellow,290.0,-0.1,-0.6 to 0.3,46,Yellow
YATES,610234,Fullerton,All Grades,2013,289.0,-1.4,-2.1 to -0.7,6,Red,289.0,-1.0,-1.5 to -0.5,15,Red
CHGO ACAD ES,610248,AUSL,All Grades,2013,289.0,-0.1,-0.8 to 0.6,43,Yellow,288.0,-1.2,-1.7 to -0.8,10,Red
"WASHINGTON, H",610124,Skyway,All Grades,2013,289.0,-1.2,-1.9 to -0.5,9,Red,288.0,-1.1,-1.6 to -0.6,12,Red
HOLDEN,609996,Pershing,All Grades,2013,288.0,0.1,-0.6 to 0.8,55,Yellow,287.0,0.3,-0.2 to 0.8,65,Yellow
BRUNSON,609830,Austin-North Lawndale,All Grades,2013,288.0,-0.4,-1.1 to 0.3,30,Yellow,287.0,-0.5,-1 to 0,30,Red
DURKIN PARK,610352,Midway,All Grades,2013,286.0,-0.5,-1.2 to 0.2,25,Yellow,286.0,-0.8,-1.3 to -0.4,20,Red
CORKERY,609870,Pilsen-Little Village,All Grades,2013,283.0,0.4,-0.4 to 1.1,69,Yellow,285.0,0.7,0.2 to 1.2,79,Green
PERSPECTIVES CHTR - LEADERSHIP ACADEMY,400061,Charter/Contract,All Grades,2013,284.0,-1.5,-2.3 to -0.7,5,Red,285.0,0.2,-0.4 to 0.7,60,Yellow
FUNSTON,609930,Fullerton,All Grades,2013,283.0,0.0,-0.8 to 0.7,48,Yellow,283.0,-1.3,-1.8 to -0.8,9,Red
POWELL,610281,Skyway,All Grades,2013,281.0,2.3,1.5 to 3,99,Green,282.0,1.5,1 to 2,93,Green
COLES,609862,Skyway,All Grades,2013,283.0,-0.6,-1.3 to 0.2,23,Yellow,282.0,0.9,0.5 to 1.4,85,Green
GREELEY,609850,Ravenswood-Ridge,All Grades,2013,280.0,1.3,0.6 to 2,92,Green,280.0,0.9,0.4 to 1.3,84,Green
NEWBERRY,610095,Fullerton,All Grades,2013,278.0,0.7,0 to 1.4,82,Yellow,280.0,1.1,0.7 to 1.6,89,Green
OGDEN HS,610529,North-Northwest Side,All Grades,2013,279.0,0.7,-0.1 to 1.5,83,Yellow,279.0,-0.1,-0.6 to 0.4,48,Yellow
