,school_name,school_id,network,grade,year,reading_studentsnumber,reading_vam,reading_confidence,reading_percentile,reading_color,math_studentsnumber,math_vam,math_confidence,math_percentile,math_color
23,NKRUMAH CONTR,400045,Charter/Contract Schools,All Grades,2012,22.0,-1.7,-3.1 to -0.2,4.0,Red,22.0,-2.2,-3.4 to -0.9,1.0,Red
24,LEARN CHTR BUTLER,400046,Charter/Contract Schools,All Grades,2012,259.7,-0.8,-1.6 to 0,20.0,Yellow,258.7,-0.4,-0.9 to 0.1,30.0,Yellow
25,LEARN CHTR NTH LAWNDALE,400047,Charter/Contract Schools,All Grades,2012,74.5,0.3,-0.9 to 1.4,61.0,Yellow,74.5,-0.2,-1.1 to 0.6,40.0,Yellow
26,LEARN CHTR EXCEL,400048,Charter/Contract Schools,All Grades,2012,64.3,-1.1,-2.3 to 0.1,11.0,Yellow,64.3,0.5,-0.3 to 1.4,73.0,Yellow
27,LEGACY CHTR CAMPUS,400049,Charter/Contract Schools,All Grades,2012,237.7,-0.5,-1.3 to 0.3,27.0,Yellow,238.7,0.6,0.1 to 1.1,77.0,Green
28,NAMASTE CHTR CAMPUS,400050,Charter/Contract Schools,All Grades,2012,164.1,-0.1,-1 to 0.9,49.0,Yellow,164.1,-1.0,-1.6 to -0.4,13.0,Red
29,NOBLE ST CHTR-COMER,400052,Charter/Contract Schools,All Grades,2012,50.9,0.3,-1.1 to 1.7,62.0,Yellow,50.9,4.2,3.2 to 5.2,99.0,Green
30,PASSAGES CHTR CAMPUS,400060,Charter/Contract Schools,All Grades,2012,118.4,0.4,-0.7 to 1.5,67.0,Yellow,118.4,0.3,-0.4 to 1,64.0,Yellow
31,PERSPECTIVES CHTR JOSLIN,400064,Charter/Contract Schools,All Grades,2012,139.5,-1.2,-2.3 to -0.1,10.0,Red,139.5,-1.2,-1.8 to -0.6,9.0,Red
32,PERSPECTIVES CHTR IIT,400066,Charter/Contract Schools,All Grades,2012,213.3,-1.0,-1.9 to -0.1,13.0,Red,214.2,-0.3,-0.8 to 0.2,38.0,Yellow
33,PERSPECTIVES CHTR CALUMET MIDDLE,400067,Charter/Contract Schools,All Grades,2012,314.6,-2.1,-2.9 to -1.3,1.0,Red,312.6,-1.0,-1.5 to -0.6,11.0,Red
34,PLATO CONTR,400068,Charter/Contract Schools,All Grades,2012,192.6,0.0,-0.9 to 0.9,50.0,Yellow,192.5,-0.3,-0.9 to 0.2,35.0,Yellow
35,POLARIS CHTR CAMPUS,400069,Charter/Contract Schools,All Grades,2012,138.4,-0.5,-1.5 to 0.5,26.0,Yellow,138.4,0.1,-0.6 to 0.7,56.0,Yellow
36,PROVIDENCE CHTR-BUNCHE,400071,Charter/Contract Schools,All Grades,2012,144.9,0.8,-0.2 to 1.8,79.0,Yellow,144.9,0.9,0.2 to 1.5,84.0,Green
37,SHABAZZ CHTR-SHABAZZ,400072,Charter/Contract Schools,All Grades,2012,166.7,-0.7,-1.6 to 0.2,22.0,Yellow,165.7,0.0,-0.6 to 0.6,52.0,Yellow
38,SHABAZZ CHTR-SIZEMORE,400074,Charter/Contract Schools,All Grades,2012,112.0,0.3,-0.8 to 1.4,63.0,Yellow,111.2,-0.6,-1.4 to 0.1,24.0,Yellow
39,UNIV OF CHGO CHTR-DONOGHUE,400075,Charter/Contract Schools,All Grades,2012,106.8,0.9,-0.1 to 1.9,82.0,Yellow,106.6,0.1,-0.7 to 0.8,54.0,Yellow
40,UNIV OF CHGO CHTR-NKO,400076,Charter/Contract Schools,All Grades,2012,98.2,0.0,-1 to 1.1,53.0,Yellow,98.2,0.4,-0.3 to 1.2,70.0,Yellow
41,UNIV OF CHGO CHTR-WOODLAWN,400077,Charter/Contract Schools,All Grades,2012,191.7,1.4,0.5 to 2.4,93.0,Green,190.7,-0.7,-1.3 to -0.1,22.0,Red
42,UNIV OF CHGO CHTR-WOODSON,400078,Charter/Contract Schools,All Grades,2012,342.3,0.5,-0.3 to 1.3,70.0,Yellow,342.3,0.5,0 to 0.9,71.0,Green
43,UNO CHTR - SPC DANIEL ZIZUMBO,400079,Charter/Contract Schools,All Grades,2012,230.0,0.4,-0.4 to 1.3,67.0,Yellow,230.0,1.0,0.5 to 1.5,86.0,Green
44,UNO CHTR - PFC OMAR E.TORRRES,400080,Charter/Contract Schools,All Grades,2012,231.0,-0.2,-1 to 0.7,42.0,Yellow,230.0,1.5,1 to 2,93.0,Green
45,UNO CHTR-DE LAS CASAS,400081,Charter/Contract Schools,All Grades,2012,72.0,-0.7,-2 to 0.6,21.0,Yellow,72.0,0.7,-0.2 to 1.5,80.0,Yellow
46,UNO CHTR-FUENTES,400082,Charter/Contract Schools,All Grades,2012,186.6,0.9,-0.1 to 1.8,82.0,Yellow,186.6,1.2,0.7 to 1.8,89.0,Green
47,UNO CHTR-PAZ,400083,Charter/Contract Schools,All Grades,2012,156.2,0.7,-0.3 to 1.7,75.0,Yellow,156.2,1.1,0.5 to 1.7,88.0,Green
48,UNO CHTR-TAMAYO,400084,Charter/Contract Schools,All Grades,2012,95.0,-0.5,-1.6 to 0.7,30.0,Yellow,96.0,0.7,-0.1 to 1.4,78.0,Yellow
49,YNG WOMEN-CHTR CAMPUS,400087,Charter/Contract Schools,All Grades,2012,63.7,-1.0,-2.3 to 0.4,14.0,Yellow,63.7,-0.9,-1.8 to 0,15.0,Red
50,UNO CHTR-MARQUEZ,400089,Charter/Contract Schools,All Grades,2012,176.6,-1.2,-2.1 to -0.2,10.0,Red,175.6,2.0,1.4 to 2.6,96.0,Green
51,CICS - LLOYD BOND,400092,Charter/Contract Schools,All Grades,2012,145.5,0.8,-0.2 to 1.7,78.0,Yellow,144.5,0.5,-0.1 to 1.1,72.0,Yellow
52,GARFIELD PARK CONTR,400095,Charter/Contract Schools,All Grades,2012,57.5,-0.6,-1.9 to 0.6,22.0,Yellow,57.6,0.2,-0.7 to 1.1,60.0,Yellow
53,ROWE,400096,Charter/Contract Schools,All Grades,2012,17.0,-0.1,-1.6 to 1.4,46.0,Yellow,17.0,0.5,-0.9 to 1.8,71.0,Yellow
54,UNO CHTR-GAGE PARK,400101,Charter/Contract Schools,All Grades,2012,230.3,1.4,0.5 to 2.3,93.0,Green,230.2,2.5,2 to 3,98.0,Green
55,LEARN CHRT - SO CHICAGO,400107,Charter/Contract Schools,All Grades,2012,29.9,-0.3,-1.7 to 1.1,34.0,Yellow,29.9,0.2,-0.9 to 1.3,60.0,Yellow
56,CICS - HAWKINS,400108,Charter/Contract Schools,All Grades,2012,126.8,0.2,-0.9 to 1.3,58.0,Yellow,126.8,-1.0,-1.7 to -0.3,14.0,Red
57,UNO CHTR-51ST - HOMAN,400112,Charter/Contract Schools,All Grades,2012,200.7,0.6,-0.4 to 1.5,73.0,Yellow,200.7,0.6,0.1 to 1.2,76.0,Green
58,CHICAGO QUEST NORTH,400113,Charter/Contract Schools,All Grades,2012,162.8,-3.5,-4.6 to -2.5,0.0,Red,162.8,-3.8,-4.4 to -3.2,0.0,Red
59,UNO CHTR - ST MARKS,400114,Charter/Contract Schools,All Grades,2012,80.1,-0.1,-1.4 to 1.2,46.0,Yellow,80.1,1.8,1 to 2.7,95.0,Green
60,HARLAN HS,609710,Far South Side High School Network,All Grades,2012,26.2,0.2,-1.5 to 1.8,57.0,Yellow,26.2,-2.1,-3.4 to -0.9,1.0,Red
61,LANE HS,609720,North-Northwest Side High School Network,All Grades,2012,76.4,-0.5,-1.8 to 0.9,29.0,Yellow,76.6,-2.3,-3.1 to -1.4,1.0,Red
62,MORGAN PARK HS,609725,Far South Side High School Network,All Grades,2012,151.0,-1.2,-2.3 to -0.2,9.0,Red,150.9,-2.0,-2.6 to -1.3,2.0,Red
63,TAFT HS,609734,North-Northwest Side High School Network,All Grades,2012,235.8,-1.7,-2.6 to -0.7,4.0,Red,211.9,-1.2,-1.8 to -0.7,8.0,Red
64,KENWOOD HS,609746,South Side High School Network,All Grades,2012,169.7,-0.3,-1.3 to 0.7,33.0,Yellow,169.7,-1.5,-2 to -0.9,5.0,Red
65,YOUNG HS,609755,West Side High School Network,All Grades,2012,180.7,2.6,1.5 to 3.7,98.0,Green,206.6,0.5,0 to 1.1,73.0,Yellow
66,ADDAMS,609772,Lake Calumet Elementary Network,All Grades,2012,394.5,1.0,0.3 to 1.7,84.0,Green,394.5,1.4,1 to 1.8,92.0,Green
67,AGASSIZ,609773,Ravenswood-Ridge Elementary Network,All Grades,2012,121.1,1.1,0 to 2.1,88.0,Green,120.2,-0.2,-0.8 to 0.5,44.0,Yellow
68,ALCOTT ES,609774,North-Northwest Side High School Network,All Grades,2012,190.0,1.1,0.2 to 2,89.0,Green,189.0,0.8,0.2 to 1.3,82.0,Green
69,ALTGELD,609775,Englewood-Gresham Elementary Network,All Grades,2012,254.8,-4.6,-5.5 to -3.8,0.0,Red,256.2,-2.1,-2.6 to -1.6,1.0,Red
70,ARMOUR,609777,Pershing Elementary Network,All Grades,2012,148.9,-1.1,-2.1 to -0.1,11.0,Red,148.9,-1.0,-1.6 to -0.4,13.0,Red
71,"ARMSTRONG, G",609779,Ravenswood-Ridge Elementary Network,All Grades,2012,557.2,-0.2,-0.8 to 0.4,39.0,Yellow,555.7,1.0,0.7 to 1.4,87.0,Green
72,AMES,609780,Fullerton Elementary Network,All Grades,2012,502.0,-0.2,-0.9 to 0.5,39.0,Yellow,498.1,0.3,-0.1 to 0.7,65.0,Yellow
73,ATTUCKS,609781,Burnham Park Elementary Network,All Grades,2012,132.4,-2.3,-3.3 to -1.2,1.0,Red,132.4,-2.4,-3.1 to -1.7,0.0,Red
74,AUDUBON,609782,Ravenswood-Ridge Elementary Network,All Grades,2012,220.6,0.8,-0.1 to 1.6,77.0,Yellow,220.6,1.1,0.6 to 1.6,87.0,Green
75,AVALON PARK,609786,Skyway Elementary Network,All Grades,2012,184.6,0.1,-0.8 to 1.1,57.0,Yellow,184.6,1.6,1 to 2.2,94.0,Green
76,BARNARD,609788,Rock Island Elementary Network,All Grades,2012,114.4,-0.4,-1.4 to 0.7,31.0,Yellow,118.5,-1.5,-2.2 to -0.9,5.0,Red
77,BARRY,609789,Fullerton Elementary Network,All Grades,2012,136.7,1.4,0.4 to 2.4,93.0,Green,135.7,1.0,0.3 to 1.6,86.0,Green
78,BARTON,609790,Englewood-Gresham Elementary Network,All Grades,2012,263.9,-0.8,-1.7 to 0,18.0,Red,265.6,-0.6,-1.1 to -0.1,26.0,Red
79,BASS,609791,Englewood-Gresham Elementary Network,All Grades,2012,162.9,0.6,-0.3 to 1.6,75.0,Yellow,164.6,3.4,2.8 to 4,99.0,Green
80,BATEMAN,609792,O'Hare Elementary Network,All Grades,2012,341.6,0.8,0 to 1.5,79.0,Green,341.5,-0.1,-0.5 to 0.4,49.0,Yellow
81,NICHOLSON TECH ACAD,609793,Englewood-Gresham Elementary Network,All Grades,2012,175.9,2.2,1.3 to 3.2,98.0,Green,175.8,4.1,3.5 to 4.7,99.0,Green
82,"EDISON, T",609794,O'Hare Elementary Network,All Grades,2012,151.6,3.0,2 to 4,99.0,Green,150.8,1.7,1.1 to 2.3,95.0,Green
83,"CLARK, G",609795,Austin-North Lawndale Elementary Network,All Grades,2012,114.4,-0.5,-1.6 to 0.6,29.0,Yellow,114.4,0.3,-0.4 to 1,63.0,Yellow
84,BEAUBIEN,609796,O'Hare Elementary Network,All Grades,2012,555.3,-0.1,-0.7 to 0.5,47.0,Yellow,555.3,1.3,1 to 1.7,91.0,Green
85,BEIDLER,609797,Garfield-Humboldt Elementary Network,All Grades,2012,207.8,-1.2,-2.1 to -0.3,10.0,Red,208.1,-1.9,-2.4 to -1.3,2.0,Red
86,BELDING,609798,O'Hare Elementary Network,All Grades,2012,230.4,-0.2,-1 to 0.7,43.0,Yellow,230.3,-0.3,-0.8 to 0.2,35.0,Yellow
87,BELL,609799,Ravenswood-Ridge Elementary Network,All Grades,2012,504.6,0.9,0.2 to 1.5,82.0,Green,502.6,0.6,0.3 to 1,77.0,Green
88,BENNETT,609800,Rock Island Elementary Network,All Grades,2012,221.1,0.2,-0.7 to 1,57.0,Yellow,221.1,-0.1,-0.6 to 0.5,51.0,Yellow
89,BLAINE,609803,Ravenswood-Ridge Elementary Network,All Grades,2012,342.5,1.6,0.8 to 2.3,94.0,Green,342.5,0.6,0.2 to 1,75.0,Green
90,BOONE,609804,Ravenswood-Ridge Elementary Network,All Grades,2012,217.3,-0.8,-1.7 to 0.1,19.0,Yellow,217.3,-0.1,-0.6 to 0.4,48.0,Yellow
91,JOPLIN,609805,Englewood-Gresham Elementary Network,All Grades,2012,245.4,0.2,-0.6 to 1,58.0,Yellow,245.5,0.3,-0.2 to 0.8,63.0,Yellow
92,BRADWELL,609806,AUSL Schools,All Grades,2012,325.3,0.7,-0.1 to 1.5,76.0,Yellow,325.3,1.0,0.6 to 1.5,86.0,Green
93,HAMPTON,609807,Midway Elementary Network,All Grades,2012,313.8,-0.2,-1 to 0.6,42.0,Yellow,312.8,0.0,-0.4 to 0.5,53.0,Yellow
94,HALEY,609808,Rock Island Elementary Network,All Grades,2012,227.9,1.4,0.6 to 2.3,94.0,Green,226.9,1.6,1.1 to 2.2,94.0,Green
95,BRENTANO,609809,Fullerton Elementary Network,All Grades,2012,149.1,-0.1,-1.1 to 0.9,46.0,Yellow,149.1,-0.7,-1.3 to -0.1,22.0,Red
96,BRIDGE,609810,O'Hare Elementary Network,All Grades,2012,357.6,1.4,0.6 to 2.1,93.0,Green,360.4,0.6,0.2 to 1,75.0,Green
97,BRIGHT,609811,Lake Calumet Elementary Network,All Grades,2012,122.7,0.3,-0.7 to 1.4,63.0,Yellow,122.7,-1.2,-1.9 to -0.5,9.0,Red
98,"BROWN, W",609812,Fulton Elementary Network,All Grades,2012,83.7,-1.0,-2.3 to 0.2,13.0,Yellow,83.7,-0.6,-1.4 to 0.2,24.0,Yellow
99,BROWNELL,609813,Skyway Elementary Network,All Grades,2012,93.4,-0.6,-1.7 to 0.5,23.0,Yellow,93.4,0.1,-0.7 to 0.8,55.0,Yellow
100,BOUCHET,609815,Skyway Elementary Network,All Grades,2012,310.9,-0.2,-1 to 0.6,42.0,Yellow,309.0,0.7,0.2 to 1.1,79.0,Green
101,BUDLONG,609817,Ravenswood-Ridge Elementary Network,All Grades,2012,257.8,0.8,0 to 1.7,80.0,Green,255.8,-0.9,-1.4 to -0.4,18.0,Red
102,BURBANK,609818,Fullerton Elementary Network,All Grades,2012,383.8,-0.4,-1.1 to 0.3,30.0,Yellow,383.8,-2.6,-3 to -2.2,0.0,Red
103,BURKE,609819,Burnham Park Elementary Network,All Grades,2012,118.8,-0.6,-1.7 to 0.5,23.0,Yellow,118.8,-0.3,-1 to 0.4,35.0,Yellow
104,BURLEY,609820,Ravenswood-Ridge Elementary Network,All Grades,2012,246.6,0.8,-0.1 to 1.6,78.0,Yellow,247.6,-0.1,-0.6 to 0.4,46.0,Yellow
105,BURNHAM,609821,Lake Calumet Elementary Network,All Grades,2012,154.9,-0.8,-1.8 to 0.2,19.0,Yellow,155.1,-1.4,-2 to -0.8,6.0,Red
106,CASTELLANOS,609826,Pilsen-Little Village Elementary Network,All Grades,2012,343.4,-0.2,-1 to 0.5,37.0,Yellow,345.1,-0.2,-0.6 to 0.2,42.0,Yellow
107,BURNSIDE,609827,Skyway Elementary Network,All Grades,2012,355.4,-0.8,-1.6 to -0.1,18.0,Red,347.5,0.0,-0.4 to 0.5,53.0,Yellow
108,BURR,609828,Fulton Elementary Network,All Grades,2012,110.6,-0.4,-1.5 to 0.7,31.0,Yellow,109.6,-1.4,-2.1 to -0.7,6.0,Red
109,BURROUGHS,609829,Pershing Elementary Network,All Grades,2012,175.5,0.0,-1 to 0.9,52.0,Yellow,176.4,1.2,0.6 to 1.7,88.0,Green
110,BRUNSON,609830,Austin-North Lawndale Elementary Network,All Grades,2012,299.5,-0.3,-1.1 to 0.4,33.0,Yellow,300.4,0.5,0.1 to 1,73.0,Green
111,BYRNE,609832,Midway Elementary Network,All Grades,2012,364.2,0.4,-0.4 to 1.1,65.0,Yellow,364.2,-0.3,-0.7 to 0.2,39.0,Yellow
112,CALDWELL,609833,Skyway Elementary Network,All Grades,2012,156.1,0.0,-1 to 1,50.0,Yellow,157.1,-0.5,-1.1 to 0.1,29.0,Yellow
113,LITTLE VILLAGE,609834,Pilsen-Little Village Elementary Network,All Grades,2012,253.6,0.5,-0.4 to 1.3,68.0,Yellow,253.6,0.0,-0.5 to 0.5,54.0,Yellow
114,CAMERON,609835,Garfield-Humboldt Elementary Network,All Grades,2012,309.0,-0.5,-1.3 to 0.3,26.0,Yellow,311.9,0.3,-0.1 to 0.8,66.0,Yellow
115,CANTY,609836,O'Hare Elementary Network,All Grades,2012,340.3,-0.5,-1.2 to 0.2,26.0,Yellow,339.3,-0.5,-1 to -0.1,27.0,Red
116,CARNEGIE,609837,Burnham Park Elementary Network,All Grades,2012,347.9,-0.3,-1 to 0.4,36.0,Yellow,348.3,-0.9,-1.3 to -0.5,18.0,Red
117,CARROLL,609839,Midway Elementary Network,All Grades,2012,276.0,-0.5,-1.3 to 0.3,25.0,Yellow,275.8,-0.2,-0.6 to 0.3,44.0,Yellow
118,CARSON,609842,Midway Elementary Network,All Grades,2012,408.4,0.3,-0.4 to 1,63.0,Yellow,408.4,0.3,0 to 0.7,66.0,Yellow
119,CARTER,609844,Burnham Park Elementary Network,All Grades,2012,179.3,-0.1,-1 to 0.9,48.0,Yellow,181.2,-0.8,-1.4 to -0.2,19.0,Red
120,"CARVER , G",609845,Lake Calumet Elementary Network,All Grades,2012,241.7,-0.8,-1.7 to 0,19.0,Yellow,241.4,-1.3,-1.8 to -0.8,8.0,Red
121,ALDRIDGE,609848,Lake Calumet Elementary Network,All Grades,2012,146.9,-0.8,-1.8 to 0.2,18.0,Yellow,146.9,-1.3,-2 to -0.7,7.0,Red
122,CASSELL,609849,Rock Island Elementary Network,All Grades,2012,165.5,-0.3,-1.3 to 0.7,34.0,Yellow,166.5,-1.6,-2.2 to -1,4.0,Red
123,GREELEY,609850,Ravenswood-Ridge Elementary Network,All Grades,2012,189.4,1.1,0.2 to 2.1,90.0,Green,187.8,0.4,-0.1 to 1,70.0,Yellow
124,CHALMERS,609851,Austin-North Lawndale Elementary Network,All Grades,2012,104.9,-2.1,-3.2 to -0.9,2.0,Red,105.8,-1.7,-2.4 to -0.9,4.0,Red
125,CHAPPELL,609852,Ravenswood-Ridge Elementary Network,All Grades,2012,130.1,0.9,-0.2 to 2,83.0,Yellow,130.1,1.3,0.7 to 2,91.0,Green
126,CHASE,609853,Fullerton Elementary Network,All Grades,2012,175.6,0.0,-1 to 0.9,50.0,Yellow,175.6,-0.3,-0.9 to 0.3,37.0,Yellow
127,CHOPIN,609854,Fulton Elementary Network,All Grades,2012,108.4,1.2,0 to 2.3,90.0,Green,108.4,0.8,0 to 1.5,82.0,Green
128,CHRISTOPHER,609855,Midway Elementary Network,All Grades,2012,58.6,0.8,-0.5 to 2.1,79.0,Yellow,58.6,0.2,-0.7 to 1.1,60.0,Yellow
129,CLAY,609856,Lake Calumet Elementary Network,All Grades,2012,239.9,-0.9,-1.8 to -0.1,15.0,Red,239.7,-0.5,-1 to 0,28.0,Yellow
130,CLEVELAND,609857,O'Hare Elementary Network,All Grades,2012,232.4,0.6,-0.3 to 1.4,73.0,Yellow,233.6,0.4,-0.1 to 0.9,67.0,Yellow
131,CLINTON,609859,Ravenswood-Ridge Elementary Network,All Grades,2012,392.5,0.0,-0.7 to 0.8,54.0,Yellow,389.5,1.3,0.9 to 1.7,90.0,Green
132,CLISSOLD,609861,Rock Island Elementary Network,All Grades,2012,299.9,0.9,0.1 to 1.6,80.0,Green,299.9,0.4,0 to 0.9,69.0,Yellow
133,COLES,609862,Skyway Elementary Network,All Grades,2012,270.4,0.1,-0.7 to 0.9,55.0,Yellow,267.4,0.3,-0.2 to 0.8,64.0,Yellow
134,COLUMBUS,609863,Fulton Elementary Network,All Grades,2012,99.5,-1.0,-2.1 to 0.2,14.0,Yellow,99.5,-0.2,-0.9 to 0.5,42.0,Yellow
135,COOK,609864,Englewood-Gresham Elementary Network,All Grades,2012,217.9,0.9,0 to 1.8,81.0,Yellow,218.0,0.8,0.3 to 1.3,83.0,Green
136,JORDAN,609865,Ravenswood-Ridge Elementary Network,All Grades,2012,269.3,0.4,-0.5 to 1.2,64.0,Yellow,268.3,-0.9,-1.4 to -0.4,16.0,Red
137,COONLEY,609866,Ravenswood-Ridge Elementary Network,All Grades,2012,139.5,0.7,-0.2 to 1.7,77.0,Yellow,139.6,0.7,0.1 to 1.3,80.0,Green
138,COOPER,609867,Pilsen-Little Village Elementary Network,All Grades,2012,72.4,-0.2,-1.4 to 1,39.0,Yellow,73.4,0.6,-0.2 to 1.5,78.0,Yellow
139,LANGFORD,609869,Englewood-Gresham Elementary Network,All Grades,2012,148.3,-0.3,-1.3 to 0.7,37.0,Yellow,148.3,-0.8,-1.4 to -0.1,21.0,Red
140,CORKERY,609870,Pilsen-Little Village Elementary Network,All Grades,2012,245.7,-0.7,-1.5 to 0.1,22.0,Yellow,246.1,-1.3,-1.8 to -0.8,7.0,Red
141,PEREZ,609872,Pilsen-Little Village Elementary Network,All Grades,2012,141.2,-0.5,-1.5 to 0.5,25.0,Yellow,141.2,0.8,0.2 to 1.5,84.0,Green
142,CROWN,609873,Austin-North Lawndale Elementary Network,All Grades,2012,118.0,0.0,-1.1 to 1.1,49.0,Yellow,118.1,0.1,-0.6 to 0.8,58.0,Yellow
143,DIRKSEN,609874,O'Hare Elementary Network,All Grades,2012,234.5,0.6,-0.2 to 1.5,74.0,Yellow,234.5,-0.4,-0.9 to 0.2,33.0,Yellow
144,DARWIN,609875,Fullerton Elementary Network,All Grades,2012,206.7,-0.3,-1.2 to 0.6,34.0,Yellow,206.7,-0.6,-1.2 to -0.1,24.0,Red
145,"DAVIS, N",609876,Pershing Elementary Network,All Grades,2012,328.0,-0.6,-1.4 to 0.2,23.0,Yellow,328.4,-0.4,-0.9 to 0,31.0,Yellow
146,DAWES,609879,Midway Elementary Network,All Grades,2012,478.8,-0.5,-1.1 to 0.2,28.0,Yellow,479.9,-0.5,-0.9 to -0.2,27.0,Red
147,DECATUR,609880,Ravenswood-Ridge Elementary Network,All Grades,2012,140.0,3.2,2.3 to 4.2,99.0,Green,140.0,1.5,0.8 to 2.1,93.0,Green
148,DELANO,609881,Garfield-Humboldt Elementary Network,All Grades,2012,157.3,0.8,-0.2 to 1.8,79.0,Yellow,157.3,0.4,-0.2 to 1,68.0,Yellow
149,DENEEN,609883,AUSL Schools,All Grades,2012,233.6,-1.5,-2.4 to -0.7,5.0,Red,233.6,-0.4,-0.9 to 0.1,33.0,Yellow
150,DEVER,609884,O'Hare Elementary Network,All Grades,2012,391.3,-0.8,-1.5 to -0.1,20.0,Red,390.9,0.6,0.2 to 1,74.0,Green
151,DEWEY,609885,Pershing Elementary Network,All Grades,2012,120.3,-0.5,-1.6 to 0.6,28.0,Yellow,122.5,0.4,-0.3 to 1.1,69.0,Yellow
152,DIXON,609887,Skyway Elementary Network,All Grades,2012,374.7,1.0,0.3 to 1.7,84.0,Green,375.0,-0.3,-0.7 to 0.2,39.0,Yellow
