,school_name,school_id,network,grade,year,reading_studentsnumber,reading_vam,reading_confidence,reading_percentile,reading_color,math_studentsnumber,math_vam,math_confidence,math_percentile,math_color
0,GLOBAL CITIZENSHIP CHTR,400009,Charter/Contract Schools,All Grades,2012,34.7,1.0,-0.4 to 2.3,84.0,Yellow,34.7,0.0,-1.1 to 1,51.0,Yellow
1,"LOCKE, A CHTR",400011,Charter/Contract Schools,All Grades,2012,202.7,-1.0,-1.9 to -0.1,14.0,Red,202.7,0.1,-0.4 to 0.6,57.0,Yellow
2,AMANDLA CHTR HS,400012,Charter/Contract Schools,All Grades,2012,276.9,-0.9,-1.8 to -0.1,16.0,Red,277.9,-0.5,-1 to 0,28.0,Red
3,ASPIRA CHTR - HAUGAN,400017,Charter/Contract Schools,All Grades,2012,468.7,-1.0,-1.7 to -0.3,14.0,Red,468.6,-0.4,-0.8 to 0,30.0,Red
4,BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,Charter/Contract Schools,All Grades,2012,240.3,-1.5,-2.3 to -0.7,5.0,Red,239.3,-0.5,-1 to 0,28.0,Yellow
5,CATALYST CHTR - HOWLAND,400020,Charter/Contract Schools,All Grades,2012,274.6,-0.6,-1.4 to 0.2,23.0,Yellow,252.4,-0.4,-0.9 to 0.1,30.0,Yellow
6,CATALYST CHTR - CIRCLE ROCK,400021,Charter/Contract Schools,All Grades,2012,266.6,0.1,-0.7 to 0.9,55.0,Yellow,266.4,0.3,-0.2 to 0.7,62.0,Yellow
7,CICS-AVALON /SO SHORE,400023,Charter/Contract Schools,All Grades,2012,243.2,-0.9,-1.7 to -0.1,16.0,Red,243.0,-0.1,-0.6 to 0.4,48.0,Yellow
8,CICS-BASIL,400024,Charter/Contract Schools,All Grades,2012,347.9,0.0,-0.7 to 0.8,53.0,Yellow,347.9,0.7,0.3 to 1.1,80.0,Green
9,CICS-BUCKTOWN,400025,Charter/Contract Schools,All Grades,2012,283.3,0.7,-0.1 to 1.5,75.0,Yellow,284.3,0.6,0.2 to 1.1,76.0,Green
10,CICS-IRVING PARK,400027,Charter/Contract Schools,All Grades,2012,215.6,-0.5,-1.3 to 0.4,30.0,Yellow,215.6,0.3,-0.3 to 0.8,63.0,Yellow
11,CICS-PRAIRIE,400028,Charter/Contract Schools,All Grades,2012,214.0,-0.8,-1.7 to 0,17.0,Yellow,214.0,-0.7,-1.3 to -0.2,21.0,Red
12,CICS-WASHINGTON PARK,400029,Charter/Contract Schools,All Grades,2012,243.4,-2.1,-2.9 to -1.2,2.0,Red,243.3,0.6,0.1 to 1.1,74.0,Green
13,CICS-WEST BELDEN,400030,Charter/Contract Schools,All Grades,2012,185.2,-0.7,-1.7 to 0.2,21.0,Yellow,185.2,0.7,0.1 to 1.2,80.0,Green
14,CICS-WRIGHTWOOD,400031,Charter/Contract Schools,All Grades,2012,363.3,0.9,0.2 to 1.6,81.0,Green,362.3,0.6,0.2 to 1,75.0,Green
15,CICS-LONGWOOD,400033,Charter/Contract Schools,All Grades,2012,732.6,-1.5,-2 to -0.9,6.0,Red,729.6,-0.9,-1.2 to -0.6,17.0,Red
16,CHGO MATH & SCI ACAD CAMPUS HS,400035,Charter/Contract Schools,All Grades,2012,197.0,0.4,-0.6 to 1.3,64.0,Yellow,197.1,0.0,-0.5 to 0.6,54.0,Yellow
17,CHICAGO VIRTUAL CHTR CAMPUS HS,400036,Charter/Contract Schools,All Grades,2012,207.8,0.3,-0.5 to 1.2,64.0,Yellow,207.8,-0.4,-0.9 to 0.2,33.0,Yellow
18,ERIE CHTR CAMPUS,400039,Charter/Contract Schools,All Grades,2012,113.9,1.1,0 to 2.2,90.0,Green,113.9,0.1,-0.6 to 0.8,55.0,Yellow
19,FRAZIER CONTR,400040,Charter/Contract Schools,All Grades,2012,211.8,-2.0,-2.9 to -1.2,2.0,Red,210.8,0.7,0.1 to 1.2,79.0,Green
20,GALAPAGOS CHTR CAMPUS,400041,Charter/Contract Schools,All Grades,2012,166.7,-2.5,-3.5 to -1.6,0.0,Red,166.7,-1.1,-1.7 to -0.5,10.0,Red
21,HOPE CONTR ES,400043,Charter/Contract Schools,All Grades,2012,78.1,0.0,-1.1 to 1.1,52.0,Yellow,78.1,0.1,-0.7 to 0.9,58.0,Yellow
22,KIPP ASCEND CHTR CAMPUS,400044,Charter/Contract Schools,All Grades,2012,298.0,1.9,1.1 to 2.7,97.0,Green,298.0,0.1,-0.4 to 0.6,56.0,Yellow
